Affiliation with Department	Record Count	% of 1.857
Sakarya University Department Of Computer Engineering	1	0.054
Sakarya University Faculty Of Computer And Information Sciences	1	0.054
School Of Engineering And Applied Technology Department Of Mechanical Engineering	1	0.054
Shaanxi Normal University School Of Computer Science	1	0.054
Shandong Academy Of Sciences National Supercomupter Center In Jinan	1	0.054
Shandong University School Of Computer Science And Technology	1	0.054
Shanghai Jiao Tong University Department Of Automation	1	0.054
Shanghai Jiao Tong University Department Of Electronic Engineering	2	0.108
Shanghai Jiao Tong University School Of Electronic Information And Electrical Engineering	8	0.431
Shanghai Jiao Tong University School Of Mechanical Engineering	2	0.108
Shanghai Jiao Tong University State Key Laboratory Of Mechanical System And Vibration	2	0.108
Shanghai Key Laboratory Of Navigation And Location Based Services	1	0.054
Shanghai Key Laboratory Of Power Station Automation Technology	2	0.108
Shanghai University School Of Mechatronic Engineering And Automation	3	0.162
Shanmugha Arts Science Technology And Research Academy School Of Computing	7	0.377
Sharda University School Of Engineering And Technology	1	0.054
Sheffield Hallam University College Of Business Technology And Engineering	1	0.054
Sheffield Hallam University Department Of Engineering And Mathematics	1	0.054
Shenzhen University College Of Computer Science Software Engineering	1	0.054
Shenzhen University College Of Electronics And Information Engineering	1	0.054
Shenzhen University College Of Mechatronics And Control Engineering	1	0.054
Shenzhen University Guangdong Key Laboratory Of Intelligent Information Processing	1	0.054
Sichuan University College Of Electrical Engineering	1	0.054
Sichuan University College Of Electronics And Information Engineering	2	0.108
Silesian University Of Technology Faculty Of Mechanical Engineering	1	0.054
Singapore Management University School Of Computing And Information Systems	2	0.108
Singapore University Of Technology And Design Engineering Product Development	1	0.054
Singapore University Of Technology And Design Information Systems Technology And Design	1	0.054
Singapore University Of Technology And Design Itrust	2	0.108
Sohag University Faculty Of Science	1	0.054
Soochow University School Of Computer Science And Technology	1	0.054
South China University Of Technology School Of Computer Science And Engineering	1	0.054
South China University Of Technology School Of Electric Power	5	0.269
South China University Of Technology School Of Mechanical And Automotive Engineering	1	0.054
Southeast University School Of Civil Engineering	1	0.054
Southeast University School Of Electrical Engineering	4	0.215
Southeast University School Of Mathematics	1	0.054
Southern Methodist University Dedman College Of Humanities And Sciences	1	0.054
Southern Methodist University Department Of Statistical Science	1	0.054
Southwest Jiaotong University School Of Electrical Engineering	1	0.054
Southwest University College Of Electronic And Information Engineering	5	0.269
Sriwijaya University School Of Computer Science	1	0.054
Srm Institute Of Science And Technology Deemed To Be University College Of Engineering Technology	3	0.162
Srm Institute Of Science And Technology Deemed To Be University Department Of Mechanical Engineering	1	0.054
Srm Institute Of Science And Technology Vadapalani Campus	1	0.054
Srm Institute Of Science And Technology Vadapalani Campus Faculty Of Engineering And Technology	1	0.054
Stanford University Department Of Civil And Environmental Engineering	1	0.054
Stanford University School Of Engineering	1	0.054
State Key Laboratory Of Networking And Switching Technology	3	0.162
State Key Laboratory Of Novel Software Technology	1	0.054
State University Of Campinas Institute Of Computing	1	0.054
Sultan Zainal Abidin University Faculty Of Informatics And Computing	1	0.054
Sun Yat Sen University Guangdong Province Key Laboratory Of Information Security Technology	1	0.054
Sun Yat Sen University National Engineering Research Center Of Digital Life	1	0.054
Sun Yat Sen University School Of Computer Science And Engineering	2	0.108
Superior Polytechnic School Of The Littoral Propsperina Campus	1	0.054
Symbiosis Institute Of Media Communication Simc	1	0.054
Symbiosis International Deemed University Symbiosis School Of Visual Arts And Photography	1	0.054
Symbiosis International University Faculty Of Engineering	1	0.054
Symbiosis International University Faculty Of Media And Communication	1	0.054
Syracuse University School Of Information Studies	1	0.054
Taiyuan University Of Technology College Of Information And Computer	2	0.108
Taiyuan University Of Technology College Of Mechanical And Vehicle Engineering	1	0.054
Taiyuan University Of Technology Shanxi Key Laboratory Of Fully Mechanized Coal Mining Equipment	1	0.054
Tampere University Automation Technology And Mechanical Engineering Unit	2	0.108
Tampere University Computing Sciences Unit	1	0.054
Tampere University Faculty Of Engineering And Natural Sciences	2	0.108
Tampere University Faculty Of Information Technology And Communication Sciences	1	0.054
Technical University Of Crete School Of Electronics And Computer Engineering	2	0.108
Technical University Of Denmark Department Of Applied Mathematics And Computer Science	1	0.054
Technical University Of Denmark Department Of Electrical And Photonics Engineering	2	0.108
Technical University Of Denmark Department Of Mechanical Engineering	1	0.054
Technical University Of Denmark Department Of Wind Energy	1	0.054
Technical University Of Munich Department Of Electrical And Computer Engineering	1	0.054
Teesside University School Of Computing Engineering And Digital Technologies	1	0.054
Tel Aviv University Department Of Physical Electronics	1	0.054
Tel Aviv University Iby And Aladar Fleischman Faculty Of Engineering	2	0.108
Tel Aviv University School Of Electrical Engineering	2	0.108
Temple University College Of Engineering	1	0.054
Texas A M University Artie Mcferrin Department Of Chemical Engineering	1	0.054
Texas A M University College Of Engineering	11	0.592
Texas A M University Department Of Electrical And Computer Engineering	10	0.539
Texas A M University Kingsville Department Of Electrical Engineering And Computer Science	4	0.215
Texas A M University Kingsville Frank H Dotterweich College Of Engineering	4	0.215
Texas A M University Mary Kay O Connor Process Safety Center	1	0.054
The Affiliated Hospital Of Southwest Medical University	1	0.054
The British University In Egypt Faculty Of Engineering	1	0.054
The Chinese University Of Hong Kong Department Of Information Engineering	2	0.108
The Chinese University Of Hong Kong Faculty Of Engineering	2	0.108
The Hashemite University Faculty Of Engineering	1	0.054
The Hong Kong Polytechnic University Department Of Electronic And Information Engineering	1	0.054
The Hong Kong Polytechnic University Faculty Of Engineering	1	0.054
The Pennsylvania State University College Of Engineering	1	0.054
The Pennsylvania State University College Of Information Sciences And Technology	1	0.054
The Pennsylvania State University The Harold And Inge Marcus Department Of Industrial And Manufacturing Engineering	1	0.054
The University Of Adelaide Faculty Of Sciences	1	0.054
The University Of Adelaide School Of Computer Science	1	0.054
The University Of Arizona Department Of Management Information Systems	1	0.054
The University Of Arizona Eller College Of Management	1	0.054
The University Of Auckland Faculty Of Science	1	0.054
The University Of Auckland School Of Computer Science	1	0.054
The University Of British Columbia Department Of Electrical And Computer Engineering	2	0.108
The University Of British Columbia Faculty Of Applied Science	2	0.108
The University Of Edinburgh College Of Science And Engineering	2	0.108
The University Of Edinburgh School Of Engineering	2	0.108
The University Of Hong Kong Department Of Electrical And Electronic Engineering	2	0.108
The University Of Hong Kong Faculty Of Engineering	2	0.108
The University Of Jordan School Of Engineering	1	0.054
The University Of Manchester Department Of Earth And Environmental Sciences	1	0.054
The University Of Manchester Faculty Of Science And Engineering	4	0.215
The University Of Manchester School Of Electrical And Electronic Engineering	3	0.162
The University Of Melbourne Department Of Electrical And Electronic Engineering	1	0.054
The University Of Melbourne Department Of Mechanical Engineering	1	0.054
The University Of Melbourne Faculty Of Engineering And Information Technology	2	0.108
The University Of Newcastle College Of Engineering Science And Environment	2	0.108
The University Of Newcastle School Of Information And Physical Sciences	1	0.054
The University Of Queensland Faculty Of Engineering Architecture And Information Technology	6	0.323
The University Of Queensland School Of Information Technology And Electrical Engineering	6	0.323
The University Of Sheffield Department Of Automatic Control And Systems Engineering	1	0.054
The University Of Sheffield Department Of Computer Science	2	0.108
The University Of Sheffield Faculty Of Engineering	3	0.162
The University Of Sydney Centre For Distributed And High Performance Computing	1	0.054
The University Of Sydney Faculty Of Engineering And Information Technologies	6	0.323
The University Of Sydney School Of Computer Science	3	0.162
The University Of Sydney School Of Electrical And Information Engineering	3	0.162
The University Of Tennessee Knoxville Department Of Electrical Engineering And Computer Science	5	0.269
The University Of Tennessee Knoxville Tickle College Of Engineering	5	0.269
The University Of Texas At Austin Cockrell School Of Engineering	1	0.054
The University Of Texas At Austin College Of Natural Sciences	1	0.054
The University Of Texas At Austin Department Of Civil Architectural And Environmental Engineering	1	0.054
The University Of Texas At Austin Department Of Computer Science	1	0.054
The University Of Texas At Dallas Department Of Mathematical Sciences	1	0.054
The University Of Texas At Dallas Department Of Mechanical Engineering	2	0.108
The University Of Texas At Dallas Erik Jonsson School Of Engineering And Computer Science	2	0.108
The University Of Texas At Dallas School Of Natural Sciences And Mathematics	1	0.054
The University Of Texas At San Antonio College Of Engineering	4	0.215
The University Of Texas At San Antonio Department Of Electrical And Computer Engineering	4	0.215
The University Of Tokyo Institute Of Industrial Science	1	0.054
The University Of Utah Department Of Chemical Engineering	2	0.108
The University Of Utah Department Of Electrical And Computer Engineering	1	0.054
The University Of Utah John And Marcia Price College Of Engineering	3	0.162
The University Of Western Australia Department Of Computer Science And Software Engineering	1	0.054
The University Of Western Australia Department Of Mathematics And Statistics	1	0.054
The University Of Western Australia Faculty Of Engineering And Mathematical Sciences	1	0.054
The University Of Western Australia School Of Physics Mathematics And Computing	1	0.054
Tianjin University College Of Intelligence And Computing	1	0.054
Tianjin University Key Laboratory Of The Ministry Of Education On Smart Power Grids	5	0.269
Tianjin University School Of Electrical And Information Engineering	9	0.485
Tianjin University School Of Microelectronics	1	0.054
Tianjin University School Of Precision Instruments And Optoelectronics Engineering	1	0.054
Tianjin University State Key Laboratory Of Precision Measuring Technology And Instruments	1	0.054
Tohoku University Center For Innovative Integrated Electronic Systems	1	0.054
Tohoku University Research Institute Of Electrical Communication	1	0.054
Tohoku University School Of Engineering	1	0.054
Tokyo University Of Agriculture And Technology Institute Of Global Innovation Research	1	0.054
Tongji University College Of Electronic And Information	1	0.054
Tongji University Department Of Control Science And Engineering	1	0.054
Tongji University School Of Mechanical Engineering	1	0.054
Tsinghua University Department Of Electrical Engineering	7	0.377
Tsinghua University Department Of Energy And Power Engeering	3	0.162
Tsinghua University Department Of Mechanical Engineering	1	0.054
Tsinghua University Department Of Precision Instrument	1	0.054
Tsinghua University Key Laboratory For Thermal Science And Power Engineering	3	0.162
Tsinghua University School Of Mechanical Engineering	5	0.269
Tu Kaiserslautern Department Of Computer Sciences	1	0.054
Tu Wien Faculty Of Electrical Engineering And Information Technology	1	0.054
Tu Wien Institute Of Computer Technology	1	0.054
Uae University College Of Engineering	1	0.054
Uae University College Of Information Technology	3	0.162
Ucla Division Of Physical Sciences	1	0.054
Uio Department Of Informatics	2	0.108
Ulm University Faculty Of Engineering Computer Science And Psychology	1	0.054
Ulm University Institute Of Neural Information Processing	1	0.054
Ulster University Faculty Of Computing Engineering And The Built Environment	1	0.054
Ulster University School Of Computing	1	0.054
Universidade De Lisboa Instituto De Investigacao E Inovacao Em Engenharia Civil Para A Sustentabilidade	1	0.054
Universitat Politecnica De Catalunya Department Of Computer Science	1	0.054
Universiti Kebangsaan Malaysia Faculty Of Information Science And Technology	3	0.162
Universiti Malaysia Sarawak Faculty Of Engineering	1	0.054
Universiti Sains Malaysia Engineering Campus Seri Ampangan	1	0.054
Universiti Sains Malaysia School Of Electrical And Electronic Engineering	1	0.054
University Carlos Iii Of Madrid Department Of Signal Theory And Communications	2	0.108
University College Dublin College Of Science	1	0.054
University College Dublin School Of Computer Science And Informatics	1	0.054
University College London Department Of Computer Science	1	0.054
University College London Faculty Of Engineering	1	0.054
University Institute Of Engineering And Technology	1	0.054
University M Hamed Bougara Of Boumerdes Faculty Of Engineering	1	0.054
University Of Agder Department Of Engineering Sciences	1	0.054
University Of Agder Faculty Of Engineering And Science	1	0.054
University Of Aizu School Of Computer Science And Engineering Graduate School Of Computer Science And Engineering	1	0.054
University Of Alberta Department Of Electrical And Computer Engineering	2	0.108
University Of Alberta Faculty Of Engineering	2	0.108
University Of Alcala Superior Polytechnic School	1	0.054
University Of Aveiro Department Of Electronics Telecommunications And Informatics	1	0.054
University Of Baghdad College Of Engineering	2	0.108
University Of Bath Department Of Architecture And Civil Engineering	1	0.054
University Of Bath Faculty Of Engineering And Design	1	0.054
University Of Beira Interior Department Of Electromechanical Engineering	1	0.054
University Of Beira Interior Faculty Of Engineering	1	0.054
University Of Belgrade Faculty Of Transport And Traffic Engineering	1	0.054
University Of Belgrade School Of Electrical Engineering	1	0.054
University Of Bremen Faculty Of Production Engineering	1	0.054
University Of Bucharest Faculty Of Mathematics And Computer Science	1	0.054
University Of Burgos Polytechnic High School	1	0.054
University Of Cagliari Department Of Electrical And Electronic Engineering	1	0.054
University Of Cagliari Faculty Of Engineering And Architecture	1	0.054
University Of Calgary Schulich School Of Engineering	3	0.162
University Of California Irvine Department Of Computer Science	1	0.054
University Of California Irvine Donald Bren School Of Information And Computer Sciences	1	0.054
University Of California Los Angeles College Of Letters And Science	1	0.054
University Of California Los Angeles Computer Science Department	1	0.054
University Of California Los Angeles Department Of Atmospheric And Oceanic Sciences	1	0.054
University Of California Los Angeles Department Of Electrical Engineering	1	0.054
University Of California Los Angeles Henry Samueli School Of Engineering	2	0.108
University Of California San Diego Department Of Bioengineering	1	0.054
University Of California San Diego Department Of Electrical And Computer Engineering	2	0.108
University Of California San Diego Jacobs School Of Engineering	2	0.108
University Of Cambridge Department Of Engineering	2	0.108
University Of Cambridge Institute For Manufacturing	1	0.054
University Of Cambridge School Of Technology	2	0.108
University Of Campania Luigi Vanvitelli Department Of Engineering	1	0.054
University Of Carthage Faculty Of Sciences Of Bizerte	1	0.054
University Of Central Florida College Of Engineering And Computer Science	3	0.162
University Of Central Florida College Of Sciences	1	0.054
University Of Central Florida Department Of Computer Science	1	0.054
University Of Central Florida Department Of Electrical And Computer Engineering	2	0.108
University Of Central Florida Department Of Mechanical And Aerospace Engineering	1	0.054
University Of Central Florida Department Of Statistics Data Science	1	0.054
University Of Coimbra Centre For Informatics And Systems	2	0.108
University Of Coimbra Department Of Electrotechnical And Computer Engineering	2	0.108
University Of Coimbra Department Of Informatics Engineering	4	0.215
University Of Coimbra Faculty Of Sciences And Technology	6	0.323
University Of Coimbra Institute Of Systems And Robotics	2	0.108
University Of Cologne Department Of Physics	1	0.054
University Of Cologne Department Of Theoretical Physics	1	0.054
University Of Cologne Faculty Of Mathematics And Natural Sciences	1	0.054
University Of Connecticut Department Of Civil Environmental Engineering	1	0.054
University Of Connecticut School Of Engineering	1	0.054
University Of Cordoba Department Of Agronomy	1	0.054
University Of Cordoba Higher Technical School Of Agronomic And Forestry Engineering	1	0.054
University Of Cyprus Department Of Electrical And Computer Engineering	2	0.108
University Of Cyprus Faculty Of Engineering	2	0.108
University Of Electronic Science And Technology Of China School Of Automation Engineering	1	0.054
University Of Electronic Science And Technology Of China School Of Life Science And Technology	1	0.054
University Of Electronic Science And Technology Of China School Of Mechanical And Electrical Engineering	1	0.054
University Of Essex Faculty Of Science And Health	3	0.162
University Of Essex School Of Computer Science And Electronic Engineering	3	0.162
University Of Exeter Environment And Sustainability Institute	1	0.054
University Of Geneva Geneva School Of Economics And Management	1	0.054
University Of Genoa Department Of Naval Electric Electronic And Telecommunication Engineering	1	0.054
University Of Genoa Polytechnic School	1	0.054
University Of Georgia Center For Cyber Physical Systems	4	0.215
University Of Ghana College Of Basic And Applied Sciences	1	0.054
University Of Ghana School Of Engineering Science	1	0.054
University Of Glasgow College Of Science And Engineering	5	0.269
University Of Glasgow James Watt School Of Engineering	4	0.215
University Of Glasgow School Of Computing Science	1	0.054
University Of Gothenburg Department Of Earth Sciences	1	0.054
University Of Gothenburg Faculty Of Science	1	0.054
University Of Greenwich Faculty Of Engineering And Science	1	0.054
University Of Greenwich Faculty Of Liberal Arts And Sciences	1	0.054
University Of Greenwich School Of Computing And Mathematical Sciences	1	0.054
University Of Guadalajara University Center Of Exact Sciences And Engineering	1	0.054
University Of Guelph College Of Physical And Engineering Science	4	0.215
University Of Guelph School Of Computer Science	3	0.162
University Of Gävle Faculty Of Education And Business Studies	1	0.054
University Of Haifa Department Of Natural Resources And Environmental Management	1	0.054
University Of Haifa School Of Business Administration	1	0.054
University Of Haifa The Herta And Paul Amir Faculty Of Social Sciences	1	0.054
University Of Hail College Of Computer Science And Engineering	2	0.108
University Of Hail College Of Engineering	1	0.054
University Of Hawai I At Manoa College Of Engineering	2	0.108
University Of Hawai I At Manoa Department Of Mechanical Engineering	2	0.108
University Of Hertfordshire School Of Physics Engineering And Computer Science	2	0.108
University Of Houston College Of Natural Sciences And Mathematics	1	0.054
University Of Houston Cullen College Of Engineering	1	0.054
University Of Houston Department Of Computer Science	1	0.054
University Of Houston Department Of Electrical And Computer Engineering	1	0.054
University Of Hradec Kralove Faculty Of Informatics And Management	1	0.054
University Of Hradec Kralove Faculty Of Science	1	0.054
University Of Huddersfield Department Of Computer Science	1	0.054
University Of Huddersfield School Of Computing And Engineering	1	0.054
University Of Hull Department Of Computer Science And Technology	1	0.054
University Of Hull Faculty Of Science And Engineering	1	0.054
University Of Idaho College Of Engineering	3	0.162
University Of Idaho Department Of Computer Science	3	0.162
University Of Johannesburg Faculty Of Engineering And Built Environment	3	0.162
University Of Johannesburg School Of Electrical Engineering	2	0.108
University Of Kentucky College Of Engineering	1	0.054
University Of Kentucky Department Of Computer Science	1	0.054
University Of Kuala Lumpur British Malaysian Institute	1	0.054
University Of Kwazulu Natal College Of Agriculture Engineering And Science	1	0.054
University Of Kwazulu Natal School Of Engineering	1	0.054
University Of Lagos Faculty Of Engineering	1	0.054
University Of Leeds Faculty Of Engineering And Physical Sciences	2	0.108
University Of Leeds School Of Electronic And Electrical Engineering	2	0.108
University Of Lincoln College Of Science	1	0.054
University Of Lincoln School Of Engineering	1	0.054
University Of Lisbon Department Of Civil Engineering Architecture And Georesources	1	0.054
University Of Lisbon Institute For Systems And Robotics	1	0.054
University Of Ljubljana Faculty Of Electrical Engineering	1	0.054
University Of Lugano Faculty Of Informatics	1	0.054
University Of Macau Department Of Electrical And Computer Engineering	1	0.054
University Of Macau Faculty Of Science And Technology	1	0.054
University Of Macedonia Department Of Applied Informatics	1	0.054
University Of Macedonia School Of Information Sciences	1	0.054
University Of Maine At Presque Isle College Of Arts And Sciences	1	0.054
University Of Malaya Faculty Of Business And Economics	1	0.054
University Of Messina Department Of Economics	1	0.054
University Of Miami College Of Engineering	1	0.054
University Of Miami Department Of Civil And Architectural Engineering	1	0.054
University Of Michigan College Of Engineering	1	0.054
University Of Michigan Department Of Electrical Engineering And Computer Science	1	0.054
University Of Minnesota Twin Cities College Of Science And Engineering	3	0.162
University Of Minnesota Twin Cities Department Of Electrical And Computer Engineering	3	0.162
University Of Minnesota Twin Cities Digital Technology Center	2	0.108
University Of Molise Department Of Bioscience And Territory	1	0.054
University Of Molise Department Of Medicine And Health Sciences Vincenzo Tiberio	1	0.054
University Of Moncton Faculty Of Engineering	2	0.108
University Of Montenegro Faculty Of Electrical Engineering	1	0.054
University Of Naples Federico Ii Department Of Mathematics And Applications Renato Caccioppoli	1	0.054
University Of Naples Federico Ii Polytechnic And Applied Sciences School	1	0.054
University Of Nevada Reno College Of Engineering	2	0.108
University Of Nevada Reno Department Of Electrical And Biomedical Engineering	2	0.108
University Of New Brunswick Fredericton	2	0.108
University Of New Brunswick Fredericton Faculty Of Computer Science	2	0.108
University Of New South Wales Adfa School Of Engineering And Information Technology	3	0.162
University Of New South Wales Canberra At Adfa	4	0.215
University Of New South Wales Canberra At The Adfa Cyber	1	0.054
University Of New South Wales Faculty Of Engineering	11	0.592
University Of New South Wales School Of Computer Science And Engineering	4	0.215
University Of New South Wales School Of Electrical Engineering And Telecommunications	6	0.323
University Of New South Wales School Of Photovoltaic And Renewable Energy Engineering	1	0.054
University Of North Texas College Of Information	1	0.054
University Of Novi Sad Faculty Of Technical Sciences	2	0.108
University Of Oslo Faculty Of Mathematics And Natural Sciences	2	0.108
University Of Ottawa Faculty Of Engineering	4	0.215
University Of Ottawa School Of Electrical Engineering And Computer Science	4	0.215
University Of Ottawa Telfer School Of Management	2	0.108
University Of Oxford Department Of Engineering Science	2	0.108
University Of Oxford Mathematical Physical And Life Sciences Division	2	0.108
University Of Padua Department Of Information Engineering	1	0.054
University Of Padua School Of Engineering	1	0.054
University Of Padua School Of Sciences	1	0.054
University Of Padua Tullio Levi Civita Department Of Mathematics	1	0.054
University Of Patras Department Of Electrical And Computer Engineering	3	0.162
University Of Patras School Of Engineering	3	0.162
University Of Perugia Department Of Engineering	2	0.108
University Of Piraeus Department Of Economics	1	0.054
University Of Piraeus School Of Economics Business And International Studies	1	0.054
University Of Pittsburgh Swanson School Of Engineering	1	0.054
University Of Porto Faculty Of Engineering	1	0.054
University Of Quebec At Outaouais Department Of Computer Science And Engineering	1	0.054
University Of Rochester Department Of Computer Science	1	0.054
University Of Rochester Hajim School Of Engineering And Applied Sciences	1	0.054
University Of Rochester Medical Center	1	0.054
University Of Rochester School Of Medicine And Dentistry	1	0.054
University Of Rome La Sapienza Department Of Computer Science	2	0.108
University Of Rome La Sapienza Department Of Information Engineering Electronics And Telecommunications	1	0.054
University Of Rome La Sapienza Faculty Of Information Engineering Computer Science And Statistics	3	0.162
University Of Rome Tor Vergata Department Of Enterprise Engineering Mario Lucentini	1	0.054
University Of Rome Tor Vergata Department Of Management And Law	1	0.054
University Of Rome Tor Vergata Engineering Macro Area	1	0.054
University Of Rome Tor Vergata Faculty Of Economics	1	0.054
University Of Salerno Department Of Business Sciences Management Innovation Systems	1	0.054
University Of Salerno Department Of Industrial Engineering	1	0.054
University Of Sannio Department Of Engineering	2	0.108
University Of Saskatchewan College Of Engineering	2	0.108
University Of Saskatchewan Department Of Electrical And Computer Engineering	2	0.108
University Of Science And Technology Beijing School Of Computer And Communication Engineering	3	0.162
University Of Science And Technology Of China Department Of Automation	2	0.108
University Of Science And Technology Of China Institute Of Advanced Technology	1	0.054
University Of Science And Technology Of China School Of Computer Science And Technology	2	0.108
University Of Science And Technology Of China School Of Information Science And Technology	2	0.108
University Of Shanghai For Science And Technology School Of Energy And Power Engineering	1	0.054
University Of Sharjah Research Institute Of Sciences And Engineering	1	0.054
University Of South Florida College Of Engineering	1	0.054
University Of South Florida Department Of Computer Science And Engineering	1	0.054
University Of South Wales Faculty Of Computing Engineering And Science	1	0.054
University Of Southern California Ming Hsieh Department Of Electrical Engineering	4	0.215
University Of Southern California Viterbi School Of Engineering	4	0.215
University Of Southern Denmark Faculty Of Engineering	1	0.054
University Of Southern Denmark Maersk Mc Kinney Moller Institute	1	0.054
University Of Southern Queensland Faculty Of Business Education Law And Arts	1	0.054
University Of Strathclyde Department Of Computer And Information Sciences	1	0.054
University Of Strathclyde Department Of Electronic And Electrical Engineering	1	0.054
University Of Strathclyde Faculty Of Engineering	2	0.108
University Of Strathclyde Faculty Of Science	1	0.054
University Of Strathclyde Naval Architecture Ocean And Marine Engineering	1	0.054
University Of Stuttgart Faculty 6 Aerospace Engineering And Geodesy	1	0.054
University Of Stuttgart Institute Of Aircraft Design	1	0.054
University Of Surrey Department Of Computer Science	1	0.054
University Of Surrey Faculty Of Engineering And Physical Sciences	1	0.054
University Of Tabouk Faculty Of Engineering	5	0.269
University Of Tabriz Faculty Of Electrical And Computer Engineering	13	0.700
University Of Tartu Faculty Of Science And Technology	1	0.054
University Of Tartu Institute Of Computer Science	1	0.054
University Of Tartu Institute Of Mathematics And Statistics	1	0.054
University Of Technology Malaysia Faculty Of Chemical And Energy Engineering	1	0.054
University Of Technology Malaysia Faculty Of Engineering	3	0.162
University Of Technology Malaysia Razak Faculty Of Technology And Informatics	1	0.054
University Of Technology Malaysia School Of Computing	2	0.108
University Of Technology Sydney Faculty Of Engineering And Information Technology	12	0.646
University Of Technology Sydney School Of Computer Science	6	0.323
University Of Technology Sydney School Of Electrical And Data Engineering	6	0.323
University Of Tehran College Of Engineering	4	0.215
University Of Tehran Faculty Of New Sciences And Technologies	1	0.054
University Of Tehran School Of Electrical Computer Engineering	3	0.162
University Of The Aegean Department Of Information And Communication Systems Engineering	1	0.054
University Of The Aegean School Of Engineering	1	0.054
University Of The Andes Faculty Of Engineering	2	0.108
University Of The Basque Country Superior Technical School Of Engineering Of Bilbao	3	0.162
University Of The Peloponnese Department Of Informatics And Telecommunications	1	0.054
University Of The Peloponnese School Of Economy Management And Informatics	1	0.054
University Of The Philippines Open University Faculty Of Information And Communication Studies	1	0.054
University Of The Sunshine Coast School Of Science Technology And Engineering	1	0.054
University Of The Witwatersrand Johannesburg Faculty Of Engineering And The Built Environment	2	0.108
University Of The Witwatersrand Johannesburg School Of Electrical And Information Engineering	2	0.108
University Of Toronto Department Of Civil Mineral Engineering	1	0.054
University Of Toronto Department Of Mechanical And Industrial Engineering	1	0.054
University Of Toronto Faculty Of Applied Science Engineering	4	0.215
University Of Toronto The Edward S Rogers Sr Department Of Electrical Computer Engineering	3	0.162
University Of Tunis El Manar Department Of Physics	1	0.054
University Of Udine Department Of Mathematics Informatics And Physics	2	0.108
University Of Vaasa Faculty Of Technology	4	0.215
University Of Vermont College Of Engineering And Mathematical Sciences	1	0.054
University Of Vermont Department Of Computer Science	1	0.054
University Of Verona Department Of Computer Science	1	0.054
University Of Verona School Of Sciences And Engineering	1	0.054
University Of Victoria Department Of Electrical And Computer Engineering	2	0.108
University Of Victoria Faculty Of Engineering Computer Science	2	0.108
University Of Wales Aberystwyth Faculty Of Business And Physical Sciences	1	0.054
University Of Warwick Department Of Computer Science	1	0.054
University Of Warwick Faculty Of Science Engineering And Medicine	6	0.323
University Of Warwick School Of Engineering	4	0.215
University Of Washington College Of Engineering	2	0.108
University Of Washington Department Of Electrical Computer Engineering	2	0.108
University Of Waterloo Department Of Electrical And Computer Engineering	3	0.162
University Of Waterloo Faculty Of Engineering	3	0.162
University Of West Attica Department Of Electrical And Electronic Engineering	2	0.108
University Of West Attica Faculty Of Engineering	2	0.108
University Of West Florida Department Of Electrical And Computer Engineering	1	0.054
University Of West Florida Hal Marcus College Of Science And Engineering	1	0.054
University Of Windsor Department Of Electrical And Computer Engineering	7	0.377
University Of Windsor Faculty Of Engineering	7	0.377
University Of Windsor Faculty Of Science	1	0.054
University Of Windsor School Of Computer Science	1	0.054
University Of Wolverhampton Faculty Of Science And Engineering	1	0.054
University Of Wolverhampton School Of Engineering Computing And Mathematical Sciences	1	0.054
University Of Zaragoza School Of Engineering And Architecture	1	0.054
Uttaranchal Institute Of Technology	1	0.054
Vel Tech Dr Rr And Dr Sr Technical University School Of Computing And Information Technology	2	0.108
Vel Tech Rangarajan Dr Sagunthala R D Institute Of Science And Technology Department Of Computer Science And Engineering	2	0.108
Victoria University College Of Engineering And Science	2	0.108
Victoria University Of Wellington Faculty Of Engineering	1	0.054
Victoria University Of Wellington School Of Engineering And Computer Science	1	0.054
Virginia Center For Housing Research	1	0.054
Virginia Polytechnic Institute And State University Bradley Department Of Electrical And Computer Engineering	3	0.162
Virginia Polytechnic Institute And State University College Of Architectural And Urban Studies	1	0.054
Virginia Polytechnic Institute And State University College Of Engineering	3	0.162
Virginia Polytechnic Institute And State University Department Of Biological Systems Engineering	1	0.054
Vit University School Of Computer Science And Engineering	5	0.269
Vit University School Of Electronics Engineering	3	0.162
Vit University School Of Information Technology And Engineering	7	0.377
Vit University School Of Mechanical Engineering	1	0.054
Warsaw University Of Life Sciences Faculty Of Applied Informatics And Mathematics	2	0.108
Warsaw University Of Life Sciences Institute Of Information Technology	2	0.108
Warsaw University Of Technology Faculty Of Electronics And Information Technology	1	0.054
Waseda University Faculty Of Human Sciences	1	0.054
Washington State University School Of Electrical Engineering Computer Science	6	0.323
Washington State University Voiland College Of Engineering And Architecture	6	0.323
Washington University In St Louis Department Of Computer Science And Engineering	3	0.162
Washington University In St Louis Mckelvey School Of Engineering	3	0.162
Wenzhou University College Of Electrical And Electronic Engineering	1	0.054
Wenzhou University College Of Mechanical And Electrical Engineering	1	0.054
West Virginia University College Of Engineering And Mineral Resources	1	0.054
West Virginia University Department Of Industrial And Management Systems Engineering	1	0.054
Western University Department Of Computer Science	1	0.054
Western University Faculty Of Science	1	0.054
Wmg	3	0.162
Wuhan University Faculty Of Engineering	5	0.269
Wuhan University Of Technology School Of Transportation	1	0.054
Wuhan University School Of Electrical Engineering And Automation	2	0.108
Wuhan University School Of Power And Mechanical Engineering	3	0.162
