id	organization	documents	citations	total link strength
804	inti int univ	1	11	0
805	iot digital innovat hub spain	1	5	0
806	iowa state univ	3	122	26
807	ipa sa	1	0	0
808	ipn	1	31	3
809	iran univ sci & technol	2	35	16
810	iraq univ coll	1	13	0
811	iresen	2	5	13
812	irnas	1	78	2
813	isc konstanz	1	0	0
814	isfahan univ technol	2	52	9
815	isi fdn	1	1	0
816	isl coll engn	1	0	0
817	islamia univ bahawalpur	3	79	131
818	islamic azad univ	4	45	55
819	islamic univ technol	1	21	17
820	ismb	2	26	0
821	ist super mario boella	1	0	0
822	istanbul kultur univ	1	7	19
823	istanbul medeniyet univ	1	4	12
824	istanbul sabahattin zaim univ	1	7	19
825	istanbul tech univ	6	138	179
826	istanbul ticaret univ	2	39	70
827	istanbul topkapi univ	1	2	19
828	istanbul univ cerrahpasa	1	1	0
829	iteso ac univ	1	2	0
830	itt madras	1	3	0
831	iuss pavia	1	0	6
832	jacksonville state univ	1	20	11
833	jadara univ	1	0	5
834	jagannath univ	1	0	0
835	james cook univ	1	2	14
836	jamia millia islamia	3	61	8
837	jamia millia islamia new delhi	1	3	0
838	japan adv inst sci & technol	1	19	17
839	jawaharlal nehru technol univ	1	7	0
840	jazan univ	1	15	5
841	jc bose univ sci & technol	1	0	0
842	jeddah univ	1	8	3
843	jeju natl univ	6	51	36
844	jemena	1	0	6
845	jerusalem coll engn	1	24	18
846	jiangsu elect power informat technol co	1	2	0
847	jiangsu hydraul res inst	1	3	0
848	jiangsu prov hydrol & water resources invest bur	1	3	0
849	jiangsu univ	2	10	10
850	jiangxi elect power co	1	4	0
851	jiangxi univ finance & econ	1	0	0
852	jiangxi univ sci & technol	1	46	13
853	jiaxing qiuyuan testing technol co	1	0	0
854	jiaxing univ	3	58	60
855	jiaying univ	1	12	28
856	jilin engn normal univ	1	2	0
857	jilin polytech water resources & elect engn	1	0	18
858	jilin prov power commun co	1	38	2
859	jilin univ	1	8	0
860	jinan infect dis hosp	1	1	0
861	jinan univ	1	49	17
862	jis coll engn	1	40	8
863	joaan bin jassim acad def studies	1	2	11
864	john paul ii catholic univ lublin	1	5	0
865	johns hopkins univ	1	66	3
866	joldasbekov inst mech & engn	1	0	2
867	jorhat engn coll	1	1	14
868	jouf univ	4	21	56
869	jozef stefan inst	1	34	4
870	jsc cent res inst econ management & informat syst	1	40	6
871	juntendo univ	1	11	0
872	kalasalingam acad res & educ	1	144	0
873	kalinga inst ind technol	2	18	6
874	kalinga inst ind technol kiit deemed univ	1	8	13
875	kanazawa univ	1	85	6
876	kangwon natl univ	1	0	18
877	kansas state univ	4	91	11
878	karachi inst econ & technol	1	15	0
879	karadeniz tech univ	2	6	16
880	karlsruhe inst technol	4	55	14
881	karlstad univ	1	134	34
882	karnavati univ	1	6	14
883	karunya inst technol & sci	1	6	0
884	kasetsart univ	1	0	1
885	katholieke univ leuven	4	6	13
886	kaunas univ technol	2	11	38
887	kcg coll technol	2	15	1
888	kddi res	1	2	0
889	kebri dehar univ	4	66	95
890	keio univ	1	6	0
891	ken saro wiwa polytech	1	6	0
892	kennesaw state univ	4	235	163
893	kent state univ	1	102	84
894	kepco res inst	2	8	0
895	kg reddy coll engn & technol	1	0	7
896	khalifa univ	6	97	48
897	khalifa univ sci & technol	1	15	7
898	khalifa univ sci technol & res	1	161	16
899	kiit univ	1	5	0
900	kinectr inc	1	1	0
901	king abdulaziz univ	23	567	520
902	king abdulaziz univ kau	1	5	6
903	king abdullah univ sci & technol kaust	5	89	159
904	king abdullah univ sci & technol kaust comp	1	22	24
905	king fahad naval acad	1	53	9
906	king fahd univ petr & minerals	3	27	16
907	king faisal univ	6	86	60
908	king khalid univ	9	45	75
909	king mongkuts inst technol ladkrabang	1	0	1
910	king mongkuts inst technol ladkrabang kmitl	1	3	0
911	king mongkuts univ technol north bangkok	1	5	0
912	king salman int univ	1	3	0
913	king saud univ	28	337	584
914	kings coll london	2	50	7
915	kings engn coll	1	0	3
916	kingston univ london	1	4	18
917	kl deemed univ	1	6	22
918	kn toosi univ technol	1	32	0
919	knowledge univ	1	0	0
920	knrtu	1	0	0
921	knrtu kai	1	0	0
922	koforidua tech univ	1	3	14
923	koneru lakshmaiah educ fdn	6	20	20
924	koneru lakshmaiah educ fdn vaddeswaram	1	0	11
925	kongu engn coll	2	78	3
926	konkuk univ	1	4	0
927	kore univ enna	1	0	4
928	korea adv inst sci & technol	1	0	0
929	korea adv inst sci & technol kaist	1	1	0
930	korea elect power corp	1	2	0
931	korea elect power corp res inst	2	1	1
932	korea elect technol inst	1	5	0
933	korea electrotechnol res inst	2	0	0
934	korea inst ind technol	1	1	0
935	korea natl univ transportat	2	0	10
936	korea univ	4	35	3
937	kpmg huazhen llp	1	51	22
938	kristianstad univ	1	2	6
939	kth royal inst technol	8	89	30
940	kumoh natl inst technol	6	43	42
941	kumoh natl inst technol gumi	2	0	3
942	kunming univ sci & technol	1	6	0
943	kurukshetra univ	1	4	0
944	kwangwoon univ	2	2	35
945	kyrgyz turkish manas univ	1	30	0
946	kyung hee univ	2	16	20
947	kyungpook natl univ	4	31	19
948	la trobe univ	6	124	81
949	lakehead univ	2	26	57
950	lakireddy bali reddy coll engn	1	34	0
951	lanzhou city univ	1	0	0
952	lanzhou power supply co	1	0	0
953	larbi tebessi univ	2	6	4
954	lasi intelligent syst associate lab	1	2	12
955	laval univ	1	6	14
956	lawrence berkeley natl lab	1	6	0
957	lbisen	1	3	13
958	leaderbrand	1	3	0
959	lebanese amer univ	8	103	213
960	lehigh univ	5	21	47
961	leshan vocat & tech coll	1	0	0
962	libyan author sci res	1	1	10
963	libyan ctr engn & informat technol	1	5	14
964	limes secur	1	14	10
965	lingnan normal univ	1	0	9
966	linkoping univ	1	0	0
967	links fdn	1	0	0
968	linnaeus univ	1	59	0
969	liteon singapore	1	0	0
970	lithuanian energy inst	1	40	6
971	liverpool hope univ	1	9	0
972	liverpool john moores uni	1	1	0
973	liverpool john moores univ	2	3	49
974	liwa coll technol	3	38	43
975	ln gumilyov eurasian natl univ	1	1	2
976	lodz univ technol	1	11	0
977	london south bank univ	2	5	0
978	lorestan univ	1	40	4
979	los alamos natl lab	4	131	32
980	lovely profess univ	8	97	122
981	lucian blaga univ sibiu	1	1	0
982	lulea univ technol	4	113	50
983	luoyang normal univ	1	17	0
984	lut univ	3	46	14
985	luxembourg ctr syst biomed	1	31	0
986	lviv polytech natl univ	1	0	0
987	m auezov south kazakhstan univ	1	1	0
988	macau univ sci & technol	1	120	3
989	macquarie univ	14	87	47
990	madanapalle inst technol & sci	1	0	6
991	mae fah luang univ	1	1	2
992	maharaja agarsen inst technol	1	0	0
993	maharaja agrasen inst technol	2	7	0
994	maharashtra state elect transmiss co ltd msetcl	1	1	0
995	maharishi markandeshwar deemed be univ	1	0	7
996	maharishi markandeshwar deemed univ	1	0	3
997	mahindra univ	1	0	1
998	malardalen univ	2	9	3
999	malaviya natl inst technol	4	21	50
1000	malayer univ	1	13	0
1001	malla reddy engn coll	1	46	2
1002	malmo univ	1	0	16
1003	manav rachna int inst res & studies	1	0	9
1004	manipal acad higher educ	1	1	14
1005	manipal inst technol elect & commun	1	4	0
1006	mansfield univ penn	1	5	4
1007	mansoura univ	2	157	0
1008	marquette univ	1	18	0
1009	marsh advisory	1	0	0
1010	masaryk univ	2	9	4
1011	maseeh coll ecs	1	0	0
1012	mathworks india private ltd	1	0	1
1013	mcgill univ	6	49	34
1014	mcmaster univ	1	2	5
1015	mdconsulting	1	5	0
1016	med spectrum twente	1	1	0
1017	mehran univ engn & technol	2	12	0
1018	mem sloan kettering canc ctr	1	125	0
1019	menoufia univ	1	25	4
1020	mepco schlenk engn coll	1	2	10
1021	merkle sci	1	3	1
1022	metamind innovat pc	1	1	1
1023	mhamed bougara univ boumerdes	1	6	3
1024	michigan technol univ	1	28	14
1025	microsoft inc	1	11	5
1026	microsoft res	2	2	2
1027	microsoft res india	1	11	2
1028	mid sweden univ	1	20	0
1029	midcomp res ctr	1	8	0
1030	middle east tech univ	1	1	0
1031	middle east univ	1	0	5
1032	middleware technol lab	1	8	0
1033	midlands state univ	1	3	3
1034	midori srl	1	3	1
1035	mik res ctr	1	3	0
1036	mil tech acad	1	1	0
1037	mil tech coll	1	2	37
1038	milsoft util solut inc	1	2	0
1039	min & met inst bor	2	5	0
1040	mines paristech	1	2	0
1041	minia univ	3	61	7
1042	minist educ	8	162	19
1043	minist educ china	1	11	5
1044	minist elect & renewable energy	1	18	7
1045	minist emergency management china	2	2	0
1046	minist min & energy	1	4	0
1047	minist nat resources china	1	0	0
1048	mirpur univ sci & technol	2	266	23
1049	misr int univ	1	10	0
1050	mississippi state univ	4	268	4
1051	missouri univ sci & technol	5	71	47
1052	mit	3	437	52
1053	mit art design & technol univ	1	34	0
1054	mit ibm watson ai lab	1	0	0
1055	mit mysore	1	12	40
1056	mitsubishi elect res labs	2	194	9
1057	mitsubishi electr corp	1	2	0
1058	mmmut	1	0	0
1059	mnnit allahabad	1	3	2
1060	modul univ vienna	1	54	1
1061	mohamed bin zayed univ artificial intelligence mbz	1	18	0
1062	mohammed v univ	1	58	5
1063	mohammed v univ rabat	2	54	28
1064	mohammed vi polytech univ	1	0	15
1065	mohammed vi polytech univ um6p	2	28	5
1066	mohan babu univ	1	0	6
1067	mokwon univ	1	4	1
1068	monash univ	3	39	35
1069	mondragon univ	1	3	0
1070	montana state univ	1	0	5
1071	morgan state univ	1	8	0
1072	moscow power engn inst	1	3	0
1073	moulay ismail univ	1	1	22
1074	movej analyt	1	2	0
1075	mudanjiang power ind sch	1	0	0
1076	mugla sitki kocman univ	1	5	15
1077	multimedia univ	2	53	43
1078	munzur univ	1	4	22
1079	muroran inst technol	1	38	0
1080	must	1	88	45
1081	mutah univ	1	0	4
1082	mykolaiv natl agr univ	1	6	0
1083	mylink inc	1	2	4
1084	myongji univ	3	13	19
1085	n china elect power univ	1	10	0
1086	nacl univ loja	1	65	16
1087	nagoya univ	1	0	0
1088	najran univ	8	48	138
1089	nanchang inst sci & technol	1	11	14
1090	nanchang univ	1	22	4
1091	nanjing agr univ	1	35	10
1092	nanjing sac metso control syst co ltd	1	0	0
1093	nanjing sac power grid automat co ltd	1	1	0
1094	nanjing univ	1	19	0
1095	nanjing univ aeronaut & astronaut	6	159	83
1096	nanjing univ finance & econ	1	2	0
1097	nanjing univ informat sci & technol	2	4	9
1098	nanjing univ posts & telecommun	7	225	79
1099	nanjing univ sci & technol	4	71	15
1100	nanocellect biomed inc	1	11	0
1101	nanyang technol univ	25	437	201
1102	nanyang technol univ ntu	1	3	4
1103	nari grp corp	1	0	4
1104	nari technol co ltd	2	0	4
1105	natl aerosp univ	1	1	0
1106	natl aviat univ	1	4	0
1107	natl bur stat	1	3	14
1108	natl cheng kung univ	1	0	1
1109	natl chung cheng univ	1	4	0
1110	natl chung hsing univ	2	13	4
1111	natl coll ireland	1	6	3
1112	natl def univ	1	22	18
1113	natl energy technol lab	2	0	0
1114	natl informat solut cooperat	1	8	0
1115	natl inst adv ind sci & technol	4	112	40
1116	natl inst engn	1	7	0
1117	natl inst informat	1	1	0
1118	natl inst posts & telecommun	1	0	34
1119	natl inst technol	6	53	10
1120	natl inst technol agartala	1	12	2
1121	natl inst technol andhra pradesh	2	12	34
1122	natl inst technol arunachal pradesh	2	45	44
1123	natl inst technol durgapur	1	1	0
1124	natl inst technol meghalaya	1	1	6
1125	natl inst technol nagaland	1	2	2
1126	natl inst technol puducherry	2	32	1
1127	natl inst technol raipur	5	21	59
1128	natl inst technol rourkela	1	2	0
1129	natl interuniv consortium informat cini	1	34	4
1130	natl kaohsiung univ sci & technol	1	12	15
1131	natl korea maritime & ocean univ	1	2	4
1132	natl renewable energy lab	2	61	33
1133	natl res council italy	1	19	0
1134	natl res council italy cnr	2	16	10
1135	natl res inst astron & geophys	1	26	39
1136	natl res irkutsk state tech univ	1	0	0
1137	natl sci & technol dev agcy	1	5	0
1138	natl sun yat sen univ	1	0	0
1139	natl supercomp ctr tianjin	1	29	6
1140	natl taipei univ technol	1	5	0
1141	natl taiwan ocean univ	1	0	0
1142	natl taiwan univ	1	10	0
1143	natl taiwan univ sci & technol	3	120	5
1144	natl tech univ athens	6	149	33
1145	natl univ comp & emerging sci	5	92	60
1146	natl univ comp & emerging sci fast	1	2	16
1147	natl univ def technol	4	78	11
1148	natl univ huancavel	1	0	9
1149	natl univ ireland galway nuig	1	5	5
1150	natl univ ireland maynooth	1	6	3
1151	natl univ loja	1	3	9
1152	natl univ modern languages	2	11	0
1153	natl univ radio elect	1	1	0
1154	natl univ san juan	2	9	2
1155	natl univ sci & technol	5	142	38
1156	natl univ singapore	5	92	35
1157	natl univ singapore nus	1	21	18
1158	natl yang ming chiao tung univ	2	22	21
1159	natl yunlin univ sci & technol	3	29	35
1160	naval postgrad sch	1	0	0
1161	naval surface warfare ctr	1	0	0
1162	nazarbayev univ	1	6	0
1163	near east univ	1	21	0
1164	nec labs amer inc	1	11	5
1165	necmettin erbakan univ	1	27	17
1166	neijiang normal univ	1	22	1
1167	neoenergia grp	1	0	0
1168	neog new energy opt geracao energia	1	3	1
1169	nerist deeed univ	1	2	0
1170	nestl privated ltd	1	24	18
1171	new horizon coll engn	1	1	0
1172	new jersey inst technol	3	33	15
1173	new mexico inst min & technol	4	34	51
1174	new mexico state univ	2	1	17
1175	new york power author nypa	1	8	2
1176	newcastle univ	4	100	32
1177	newcastle univ singapore	1	1	6
1178	nile univ	1	10	0
1179	nimhans	1	4	0
1180	ningbo china inst supply chain innovat	1	11	23
1181	ningbo power transmiss & transformat construct co	1	0	0
1182	ningbo zhoushan port grp co ltd	1	15	13
1183	ninghai power supply co ltd	1	0	0
1184	ningxia key lab elect energy secur	1	0	10
1185	ningxia univ	3	2	26
1186	nirma univ	5	131	12
1187	nisantasi univ	1	3	14
1188	nit	1	36	0
1189	nit hamirpur	1	0	54
1190	nizhnii novgorod state tech univ	1	1	3
1191	nmims univ	1	3	0
1192	noaa	1	2	0
1193	noida int univ	1	0	9
1194	noja power	1	5	4
1195	noorul islam ctr higher educ	1	14	0
1196	norce	1	0	0
1197	north carolina a&t state univ	2	1	6
1198	north carolina agr & tech state univ	1	0	29
1199	north carolina state univ	4	114	30
1200	north china elect power univ	25	514	165
1201	north china univ technol	1	0	0
1202	north china univ water resources & elect power	1	73	13
1203	north dakota state univ	1	4	3
1204	northeast agr univ	1	11	6
1205	northeast elect power univ	6	207	85
1206	northeastern univ	5	28	13
1207	northeastern univ qinhuangdao	1	16	21
1208	northern tech univ	1	0	0
1209	northern vehicle res inst	1	5	0
1210	northumbria univ	3	41	6
1211	northwestern polytech univ	4	23	19
1212	norwegian univ life sci	1	1	0
1213	norwegian univ sci & technol	7	114	51
1214	norwegian univ sci & technol ntnu	1	1	10
1215	nrel	1	3	7
1216	nri inst technol	1	0	0
1217	ntnu	1	0	0
1218	nucl med & mol imaging key lab sichuan prov	1	15	0
1219	nust	1	5	4
1220	nwp imd	1	0	21
1221	nxp semicond	1	5	4
1222	nyu	2	17	27
1223	oak ridge natl lab	9	278	77
1224	obafemi awolowo univ	1	1	3
1225	off gas & elect markets ofgem	1	278	28
1226	offis	1	4	0
1227	offis inst it	1	0	0
1228	oinf	1	31	20
1229	oklahoma state univ	1	0	0
1230	old dominion univ	4	23	35
1231	oman tourism coll	1	3	43
1232	oncontrol technol	1	6	0
1233	ontario tech univ	1	0	12
1234	op jindal global univ	1	67	0
1235	oracle india pvt ltd	1	11	5
1236	oregon inst technol	1	24	18
1237	oregon state univ	1	0	0
1238	osaka inst technol	1	5	0
1239	osaka univ	1	22	5
1240	ostfold univ coll	1	2	10
1241	otto von guericke univ	1	6	4
1242	paavai engn coll	2	51	39
1243	pacific gas & elect co	1	0	0
1244	pacific northwest natl lab	6	29	6
1245	pacific northwest natl lab pnnl	1	2	1
1246	pacific nw natl lab	1	2	0
1247	padjadjaran state univ	1	3	20
1248	pak austria fachhochsch	1	33	3
1249	palestine tech coll	1	19	4
1250	panimalar engn coll	1	0	6
1251	panimalar inst technol	1	16	42
1252	panjab univ	2	7	16
1253	panzhihua univ	1	0	0
1254	paraiba power plants sa epasa	1	20	3
1255	parul univ	1	0	7
1256	pazhou lab	1	0	0
1257	peking univ	5	31	10
1258	pendulum syst	1	0	2
1259	peng cheng lab	1	2	5
1260	penn state harrisburg	1	0	14
1261	penn state univ	4	86	45
1262	periyar univ	1	19	0
1263	peter great st petersburg polytech univ	1	14	3
1264	petr univ technol	1	12	10
1265	petro mohyla black sea natl univ	1	6	0
1266	petrochina huabei co	1	0	0
1267	petru maior univ targu mures	1	65	0
1268	physikal tech bundesanstalt	1	0	3
1269	pk coll engn & technol	1	5	0
1270	plekhanov russian univ econ	1	13	0
1271	plytech porto p porto	1	3	3
1272	polish air force univ	1	15	23
1273	politecn milan	7	81	77
1274	politecn torino	6	27	3
1275	politehn univ timisoara	1	1	0
1276	politekn negeri pontianak	1	1	0
1277	polyethn univ bucharest	1	2	0
1278	polytech inst leiria	1	2	0
1279	polytech inst lisbon ipl	1	3	2
1280	polytech montral	1	1	0
1281	polytech porto	3	3	24
1282	polytech univ bari	1	3	3
1283	polytech viseu	2	20	10
1284	pondicherry engn coll	1	4	14
1285	pondicherry univ	1	6	47
1286	pontif catholic univ rio de janeiro puc rio	1	3	0
1287	pontifical catholic univ parana pucpr	1	24	12
1288	pontifical catholic univ peru	2	7	11
1289	pontifical catholic univ rio janeiro puc rio	1	24	12
1290	pontificia comillas univ	1	12	0
1291	pontificia univ catolica parana	2	10	15
1292	pontificia univ javeriana	1	13	0
1293	portland state univ	2	6	0
1294	posts & telecommun inst technol	1	0	3
1295	power china sichuan elect power engn co ltd	1	0	0
1296	power factors	1	10	10
1297	power res inst liaoning elect power co ltd	1	1	0
1298	power supply bur	1	0	0
1299	ppgia pontifical catholic univ parana	1	18	2
1300	prairie a&m univ	1	23	23
1301	pranveer singh inst technol	1	0	4
1302	pricewaterhousecoopers	1	8	0
1303	prince mohammad bin fahd univ	1	0	0
1304	prince sattam bin abdulaziz univ	6	39	50
1305	prince saud alfaisal inst diplomat studies	1	15	0
1306	prince songkla univ	1	12	43
1307	prince sultan univ	1	1	4
1308	prince sultan univ psu	1	24	18
1309	princess nourah bint abdulrahman univ	8	59	60
1310	princess nourah bint abdulrahman univ pnu	1	15	6
1311	princeton univ	3	79	26
1312	protiviti inc	1	31	0
1313	psl res univ	1	15	13
1314	psn coll engn & technol	3	63	39
1315	publ power corp sa	2	35	40
1316	publ serv elect & gas co pse&g	1	20	10
1317	publ util board pub	1	21	0
1318	puc mg	1	7	0
1319	puducherry technol univ	1	46	2
1320	pune inst comp technol	1	3	0
1321	purdue univ	5	67	20
1322	pusan natl univ	4	128	56
1323	qassim univ	2	50	37
1324	qatar univ	10	436	365
1325	qatar univ qu	1	21	5
1326	qilu univ technol	2	11	10
1327	qingdao brain optoelect technol co ltd	1	2	0
1328	qingdao univ	2	29	11
1329	qinghai univ	2	19	0
1330	qinghai univ sci & technol	1	0	0
1331	qis coll engn & technol	1	2	5
1332	quanta technol llc	1	3	0
1333	quantum innovat pc	2	2	0
1334	qubitech	1	1	0
1335	queen mary univ london	1	4	0
1336	queens univ belfast	2	3	0
1337	queensland univ technol	4	36	17
1338	qufu normal univ	3	25	12
1339	quinnipiac univ	1	11	34
1340	r&d dept hellen cables	1	6	0
1341	radboud univ nijmegen	3	7	8
1342	radix software & engn	1	20	3
1343	rajiv gandhi inst technol	1	1	5
1344	rajshahi univ engn & technol	2	0	13
1345	ramon llull univ	1	23	0
1346	ramrao adik inst technol nerul	1	3	3
1347	ras	1	0	0
1348	rayat bahra univ	1	0	7
1349	razi univ	1	0	0
1350	rdt co	1	15	3
1351	reconnect energy solut pvt ltd	1	14	14
1352	renmin univ china	2	43	53
1353	rensselaer polytech inst	3	90	7
1354	rensselaer polytech inst rpi	1	13	4
1355	res & dev ctr	1	23	8
1356	res & dev inst environm protect technol & equipme	1	4	0
1357	res ctr athena	2	14	7
1358	res ctr mass language informat proc & cloud comp	1	37	0
1359	reseau transport electr rte	1	2	0
1360	resolve tech solut	1	6	0
1361	reva univ	1	2	0
1362	rhein westfal th aachen	2	10	2
1363	riken	1	11	0
1364	riken ctr brain sci	1	11	0
1365	riphah int univ	1	0	13
1366	riscure bv	1	5	4
1367	rmit univ	8	541	79
1368	rmk engn coll	2	68	3
1369	robert gordon univ	1	1	5
1370	robert morris univ	1	8	0
1371	robot sch fuzhou polytech	1	30	0
1372	roma tre univ	1	0	0
1373	rosenheim tech univ appl sci	1	14	2
1374	ross state univ	1	0	0
1375	royal holloway univ london	1	10	3
1376	royal inst technol kth	1	18	10
1377	royal mil coll canada	1	0	3
1378	rte r&d	1	0	0
1379	russian acad sci	1	1	3
1380	russian acad sci spc ras	1	2	0
1381	rutgers state univ	2	72	2
1382	rv coll engn	1	0	0
1383	rvs coll engn & technol	1	0	11
1384	ryerson univ	3	48	45
1385	rzeszow univ technol	1	172	4
1386	sa engn coll	1	0	3
1387	sadeckie wodociagi sp zoo	1	5	0
1388	sahand univ technol	7	147	179
1389	sakarya univ	1	3	1
1390	salerno univ	1	13	0
1391	salzburg univ appl sci	2	14	0
1392	samsun univ	3	42	73
1393	samsung elect	1	3	0
1394	san jose state univ	1	2	0
1395	sandia natl labs	5	70	21
1396	sanjivani coll engn	1	2	2
1397	sap se	1	0	0
1398	sapienza univ	1	12	0
1399	sapienza univ rome	3	37	15
1400	sardar vallabhbhai natl inst technol	1	15	0
1401	sardar vallabhbhai natl inst technol svnit	1	0	2
1402	sartorius stedim biotech gmbh	1	1	0
1403	sas inst	1	4	4
1404	sastra deemed univ	7	132	63
1405	sastra univ	2	154	2
1406	saudi elect co	1	1	0
1407	saveetha engn coll	1	1	0
1408	saveetha inst med & tech sci	1	12	43
1409	saveetha univ	2	34	3
1410	sba res	1	28	19
1411	sch comp sci	1	21	16
1412	sch comp sci & engn scse ntu	1	3	4
1413	sch elect & elect engn eee ntu	1	3	4
1414	sch engn	1	2	0
1415	schlumberger res	1	66	3
1416	schneider elect	2	63	29
1417	schneider elect xiamen switchgear co ltd	1	9	2
1418	sci & res town	1	20	0
1419	sci & technol commun secur lab	1	23	0
1420	sdu univ	1	0	3
1421	sejong univ	5	127	79
1422	sence time	1	14	0
1423	seneca coll appl arts & technol	1	12	3
1424	sensing & control syst sl	1	0	0
1425	sensus inc	1	10	2
1426	seoul natl univ sci & technol	1	0	0
1427	shaanxi elect power res inst	1	9	0
1428	shaanxi normal univ	2	16	0
1429	shaanxi open univ	1	0	3
1430	shaanxi univ sci & technol	2	3	14
1431	shahid bahonar univ	1	1	0
1432	shahid bahonar univ kerman	1	4	1
1433	shahid beheshti univ	1	0	1
1434	shahid chamran univ	1	7	0
1435	shandong inst metrol	1	2	0
1436	shandong technol & business univ	2	8	0
1437	shandong univ	2	0	7
1438	shandong univ finance & econ	1	1	4
1439	shandong univ sci & technol	1	23	8
1440	shandong univ technol	1	0	22
1441	shandong zhongsheng data co ltd	1	0	7
1442	shanghai jiao tong univ	19	181	113
1443	shanghai maritime univ	4	52	162
1444	shanghai univ	3	68	57
1445	shanghai univ elect power	5	59	91
1446	shanghai univ int business & econ	1	0	0
1447	shanghai weizhizhuoxin informat technol co ltd	1	14	0
1448	shanxi key lab fully mechanized coal min equipmen	1	0	0
1449	shaoxing univ	1	85	6
1450	shaqra univ	3	8	14
1451	sharaf energy syst inc	1	22	0
1452	sharda univ	1	46	7
1453	sheffield hallam univ	1	122	2
1454	shenyang inst automation	1	0	5
1455	shenyang normal univ	2	42	108
1456	shenyang univ technol	1	3	0
1457	shenzhen guodian technol commun co ltd	1	0	1
1458	shenzhen inst artificial intelligence & robot soc	2	50	11
1459	shenzhen polytech	2	3	19
1460	shenzhen power grid util co ltd	1	3	1
1461	shenzhen power supply bur co ltd	2	5	13
1462	shenzhen power supply co ltd	1	2	0
1463	shenzhen res ctr digital city engn	1	0	0
1464	shenzhen res inst big data	1	2	0
1465	shenzhen univ	6	327	173
1466	shiraz univ	3	51	29
1467	shiraz univ technol	5	153	87
1468	shoolini univ	1	29	0
1469	shri jjtu rajasthan	1	0	0
1470	sichuan conservatory mus	1	24	9
1471	sichuan elect power corp state grid	1	1	2
1472	sichuan normal univ	1	11	5
1473	sichuan univ	5	61	93
1474	sichuan univ sci & engn	1	3	0
1475	sidi mohammed ben abdellah univ	1	6	0
1476	sidroco holdings ltd	4	161	106
1477	siemens ag	2	0	0
1478	siemens corp	2	55	24
1479	siemens corp res	1	44	1
1480	siemens corp technol	2	60	2
1481	siemens technol	2	3	7
1482	siksha o anusandhan univ	2	46	0
1483	silesian tech univ	6	68	7
1484	silov solut private ltd	1	0	1
1485	simats	1	0	0
1486	simon fraser univ	2	27	8
1487	simula metropolitan ctr digital engn	1	120	3
1488	simula res lab	1	138	27
1489	sindh madressatul islam univ	1	41	44
1490	singapore management univ	2	39	24
1491	singapore univ technol & design	11	264	60
1492	singidunum univ	1	9	0
1493	sintef energy res	1	2	3
1494	sirts	1	1	0
1495	sivas cumhuriyet univ	4	11	60
1496	sivas univ sci & technol	1	0	7
1497	sjc inst technol	1	2	0
1498	sk telecom	1	4	0
1499	skyline univ coll	1	73	13
1500	skyrocketai gmbh	1	14	14
1501	slovak univ technol bratislava	2	11	1
1502	smart ever co ltd	1	1	35
1503	sns coll engn	1	0	11
1504	software motor co	1	19	1
1505	sohag univ	1	5	0
1506	sona coll technol	1	0	0
1507	soochow univ	1	49	17
1508	soonchunhyang univ	1	1	0
1509	soongsil univ	3	39	19
1510	south china univ technol	8	55	27
1511	south dakota sch mines & technol	1	28	0
1512	south valley univ	2	6	15
1513	southeast univ	7	82	42
1514	southern illinois univ	5	47	65
1515	southern marine sci & engn guangdong lab zhanjiang	1	0	9
1516	southern methodist univ	5	351	166
1517	southern tech univ	1	12	0
1518	southern univ sci & technol	1	0	10
1519	southwest inst tech phys	1	0	0
1520	southwest jiaotong univ	1	41	11
1521	southwest med univ	1	15	0
1522	southwest minzu univ	1	1	1
1523	southwest univ	5	23	8
1524	spectracom	1	1	0
1525	spectrum knowledge prod & skills dev	2	33	87
1526	sr univ	2	2	7
1527	sreenidhi inst sci & technol	1	1	22
1528	sri eshwar coll engn	1	0	11
1529	sri krishna coll engn & technol	1	24	18
1530	sri ramakrishna engn coll	1	2	5
1531	sri shakthi inst engn & technol	1	0	11
1532	sri venkateswara coll engn	1	0	0
1533	srinivas univ	1	0	3
1534	srm inst sci & technol	5	71	3
1535	srm univ	1	0	0
1536	srm univ ap	1	18	0
1537	st josephs coll engn	1	0	0
1538	st michael coll engn & technol	1	10	7
1539	st petersburg state univ aerosp instrumentat	1	40	6
1540	st polten univ appl sci	2	27	14
1541	staffordshire univ	1	73	13
1542	stanford univ	1	15	9
1543	state grid anhui elect power co fuyang power suppl	1	1	0
1544	state grid anhui elect power co ltd	1	4	0
1545	state grid anhui elect power co suzhou power suppl	1	1	0
1546	state grid beijing elect power co	2	2	8
1547	state grid beijing maintenance co	1	2	0
1548	state grid chongqing elect power co	1	1	0
1549	state grid commercial elect vehicle investment co	1	0	8
1550	state grid corp china	3	2	1
1551	state grid econ & technol res inst co ltd	1	3	7
1552	state grid elect power res inst	1	0	1
1553	state grid fujian elect power co ltd	1	0	0
1554	state grid gansu elect power co	1	7	0
1555	state grid hebei econ res inst	1	3	7
1556	state grid hebei elect power co	1	1	0
1557	state grid hebei elect power co ltd	1	188	59
1558	state grid henan elect power co	1	1	0
1559	state grid henan elect power res inst	2	9	1
1560	state grid hubei elect power co ltd	1	0	0
1561	state grid hunan elect power co ltd	1	0	0
1562	state grid hunan extra high voltage substn co	1	0	0
1563	state grid informat & telecommun branch	1	0	1
